Environment,determinizing_mdp_times,bottleneck_finding_times,maximal_achievable_pruning_times,maximal_achievable_no_pruning_times,policy_computation_pruning_times,policy_computation_no_pruning_times,pruning_times,pruning_subsets,no_pruning_times,no_pruning_subsets,query_counts,information_gain_counts,transition_counts,proximity_counts,frequency_counts,random_counts,query_all_counts,human_bottlenecks,initial_mdp_state_space_sizes,initial_mdp_action_space_sizes
overcooked_nomove,0.0,0.027184247970581055,0.002470731735229492,0.002470731735229492,14.759247303009033,14.759247303009033,0.002470731735229492,18,0.002470731735229492,18,8.4,4.4,8.0,4.0,4.0,10.0,17.0,17,38417,6
overcooked_nomove,0.0,0.027184247970581055,0.002470731735229492,0.002470731735229492,14.759247303009033,14.759247303009033,0.002470731735229492,18,0.002470731735229492,18,9.4,4.4,9.0,4.0,4.0,7.0,17.0,17,38417,6
overcooked_nomove,0.0,0.027184247970581055,0.002470731735229492,0.002470731735229492,14.759247303009033,14.759247303009033,0.002470731735229492,18,0.002470731735229492,18,9.8,5.0,9.8,4.4,4.4,8.4,17.0,17,38417,6
overcooked_nomove,0.0,0.027179956436157227,0.0024530887603759766,0.0024530887603759766,14.74026083946228,14.74026083946228,0.0024530887603759766,18,0.0024530887603759766,18,8.0,4.4,7.4,4.0,4.0,8.8,17.0,17,38417,6
overcooked_nomove,0.0,0.027179956436157227,0.0024530887603759766,0.0024530887603759766,14.74026083946228,14.74026083946228,0.0024530887603759766,18,0.0024530887603759766,18,9.4,4.4,8.4,4.0,4.0,6.6,17.0,17,38417,6
overcooked_nomove,0.0,0.027179956436157227,0.0024530887603759766,0.0024530887603759766,14.74026083946228,14.74026083946228,0.0024530887603759766,18,0.0024530887603759766,18,11.4,5.0,11.0,5.0,5.0,8.6,17.0,17,38417,6
overcooked_nomove,0.0,0.02623581886291504,0.0025529861450195312,0.0025529861450195312,14.767317056655884,14.767317056655884,0.0025529861450195312,18,0.0025529861450195312,18,9.6,4.6,8.6,4.4,4.4,8.0,17.0,17,38417,6
overcooked_nomove,0.0,0.02623581886291504,0.0025529861450195312,0.0025529861450195312,14.767317056655884,14.767317056655884,0.0025529861450195312,18,0.0025529861450195312,18,7.6,4.4,7.0,4.4,4.4,8.2,17.0,17,38417,6
overcooked_nomove,0.0,0.02623581886291504,0.0025529861450195312,0.0025529861450195312,14.767317056655884,14.767317056655884,0.0025529861450195312,18,0.0025529861450195312,18,8.4,4.6,8.0,5.0,5.0,8.2,17.0,17,38417,6
overcooked_nomove,0.0,0.026263952255249023,0.0026831626892089844,0.0026831626892089844,14.228171825408936,14.228171825408936,0.0026831626892089844,18,0.0026831626892089844,18,11.2,4.6,10.2,4.6,4.6,9.0,17.0,17,38417,6
overcooked_nomove,0.0,0.026263952255249023,0.0026831626892089844,0.0026831626892089844,14.228171825408936,14.228171825408936,0.0026831626892089844,18,0.0026831626892089844,18,10.2,4.8,10.2,4.6,4.6,9.4,17.0,17,38417,6
overcooked_nomove,0.0,0.026263952255249023,0.0026831626892089844,0.0026831626892089844,14.228171825408936,14.228171825408936,0.0026831626892089844,18,0.0026831626892089844,18,8.6,4.8,8.6,5.0,5.0,8.0,17.0,17,38417,6
overcooked_nomove,0.0,0.02703690528869629,0.002557039260864258,0.002557039260864258,14.200275182723999,14.200275182723999,0.002557039260864258,18,0.002557039260864258,18,9.4,4.4,8.8,4.6,4.6,8.0,17.0,17,38417,6
overcooked_nomove,0.0,0.02703690528869629,0.002557039260864258,0.002557039260864258,14.200275182723999,14.200275182723999,0.002557039260864258,18,0.002557039260864258,18,10.6,5.0,10.2,5.0,5.0,7.6,17.0,17,38417,6
overcooked_nomove,0.0,0.02703690528869629,0.002557039260864258,0.002557039260864258,14.200275182723999,14.200275182723999,0.002557039260864258,18,0.002557039260864258,18,10.0,4.6,9.6,4.6,4.6,9.6,17.0,17,38417,6
grid_4_10_models_0.1,0.0014750957489013672,0.0030400753021240234,0.0003991127014160156,0.0003991127014160156,0.0,0.0,0.0003991127014160156,5,0.0003991127014160156,5,3.0,3.0,3.0,2.4,3.0,3.2,5.0,5,16,20
grid_4_10_models_0.1,0.0017232894897460938,0.0030040740966796875,0.0006947517395019531,0.0006947517395019531,0.0,0.0,0.0006947517395019531,7,0.0006947517395019531,7,4.2,3.3,4.2,3.2,3.3,3.4,7.0,7,16,20
grid_4_10_models_0.1,0.0013163089752197266,0.002955913543701172,0.00043082237243652344,0.00043082237243652344,0.0,0.0,0.00043082237243652344,5,0.00043082237243652344,5,2.5,2.5,2.5,2.9,2.5,3.7,5.0,5,16,20
grid_4_10_models_0.1,0.0017483234405517578,0.0031309127807617188,0.0007002353668212891,0.0007002353668212891,0.0,0.0,0.0007002353668212891,7,0.0007002353668212891,7,3.8,3.8,3.8,3.8,3.8,4.5,7.0,7,16,20
grid_4_10_models_0.1,0.0015146732330322266,0.003136873245239258,0.0005011558532714844,0.0005011558532714844,0.0,0.0,0.0005011558532714844,6,0.0005011558532714844,6,3.9,3.9,3.9,2.9,3.9,2.8,6.0,6,16,20
grid_4_10_models_0.15,0.0015461444854736328,0.0028791427612304688,0.0006709098815917969,0.0006709098815917969,0.0,0.0,0.0006709098815917969,7,0.0006709098815917969,7,3.7,3.3,3.7,3.3,3.3,3.9,7.0,7,16,16
grid_4_10_models_0.15,0.001331329345703125,0.002942800521850586,0.0004811286926269531,0.0004811286926269531,0.0,0.0,0.0004811286926269531,6,0.0004811286926269531,6,3.7,3.7,3.7,3.1,3.7,3.0,6.0,6,16,20
grid_4_10_models_0.15,0.0013775825500488281,0.0027191638946533203,0.0005178451538085938,0.0005178451538085938,0.0,0.0,0.0005178451538085938,6,0.0005178451538085938,6,3.3,2.5,3.3,3.7,2.5,3.4,6.0,6,16,20
grid_4_10_models_0.15,0.0013740062713623047,0.0027570724487304688,0.0006780624389648438,0.0006780624389648438,0.0,0.0,0.0006780624389648438,6,0.0006780624389648438,6,3.3,2.6,3.3,2.9,2.6,3.6,7.0,7,16,20
grid_4_10_models_0.15,0.0015933513641357422,0.002736806869506836,0.0006439685821533203,0.0006439685821533203,0.0,0.0,0.0006439685821533203,7,0.0006439685821533203,7,3.9,3.5,3.9,3.3,3.5,3.1,7.0,7,16,20
grid_4_10_models_0.2,0.00136566162109375,0.002439737319946289,0.0007171630859375,0.0007171630859375,0.0,0.0,0.0007171630859375,6,0.0007171630859375,6,3.8,2.6,3.4,2.7,2.7,3.5,7.0,7,16,20
grid_4_10_models_0.2,0.001611948013305664,0.0024280548095703125,0.0010499954223632812,0.0010499954223632812,0.0,0.0,0.0010499954223632812,7,0.0010499954223632812,7,4.2,3.1,4.2,3.2,3.2,3.3,8.0,8,16,16
grid_4_10_models_0.2,0.001321554183959961,0.002543926239013672,0.00021028518676757812,0.00021028518676757812,0.0,0.0,0.00021028518676757812,3,0.00021028518676757812,3,1.6,1.6,1.6,1.9,1.6,1.8,3.0,3,16,20
grid_4_10_models_0.2,0.0012538433074951172,0.002622365951538086,0.0006699562072753906,0.0006699562072753906,0.0,0.0,0.0006699562072753906,6,0.0006699562072753906,6,4.0,3.1,4.0,3.6,3.1,2.9,7.0,7,16,20
